Normalni: instrumentalist           Moski average: 0.8930    Zenski average: 0.9334     Razlika: -0.0404
Mešani: instrumentalist           Moski average: 0.8718    Zenski average: 0.9145     Razlika: -0.0427
Skupno: instrumentalist           Moski average: 0.8824    Zenski average: 0.9026     Razlika: -0.0202
Normalni: jezikoslovec              Moski average: 0.9170    Zenski average: 0.9277     Razlika: -0.0106
Mešani: jezikoslovec              Moski average: 0.8924    Zenski average: 0.8943     Razlika: -0.0019
Skupno: jezikoslovec              Moski average: 0.9047    Zenski average: 0.9100     Razlika: -0.0053
Normalni: kamerman                  Moski average: 0.8672    Zenski average: 0.9004     Razlika: -0.0332
Mešani: kamerman                  Moski average: 0.8682    Zenski average: 0.8732     Razlika: -0.0050
Skupno: kamerman                  Moski average: 0.8677    Zenski average: 0.8843     Razlika: -0.0166
Normalni: kamnosek                  Moski average: 0.9095    Zenski average: 0.9215     Razlika: -0.0121
Mešani: kamnosek                  Moski average: 0.8951    Zenski average: 0.8748     Razlika: 0.0203
Skupno: kamnosek                  Moski average: 0.9023    Zenski average: 0.9083     Razlika: -0.0060
Normalni: kaplan                    Moski average: 0.8912    Zenski average: 0.9175     Razlika: -0.0264
Mešani: kaplan                    Moski average: 0.8729    Zenski average: 0.9033     Razlika: -0.0304
Skupno: kaplan                    Moski average: 0.8820    Zenski average: 0.8952     Razlika: -0.0132
Normalni: kardiolog                 Moski average: 0.8949    Zenski average: 0.8976     Razlika: -0.0027
Mešani: kardiolog                 Moski average: 0.8734    Zenski average: 0.8621     Razlika: 0.0112
Skupno: kardiolog                 Moski average: 0.8841    Zenski average: 0.8855     Razlika: -0.0014
Normalni: karikaturist              Moski average: 0.9232    Zenski average: 0.9276     Razlika: -0.0044
Mešani: karikaturist              Moski average: 0.9233    Zenski average: 0.9024     Razlika: 0.0209
Skupno: karikaturist              Moski average: 0.9233    Zenski average: 0.9255     Razlika: -0.0022
Normalni: kartograf                 Moski average: 0.8989    Zenski average: 0.9197     Razlika: -0.0209
Mešani: kartograf                 Moski average: 0.8776    Zenski average: 0.9095     Razlika: -0.0319
Skupno: kartograf                 Moski average: 0.8882    Zenski average: 0.8986     Razlika: -0.0104
Normalni: kaskader                  Moski average: 0.9311    Zenski average: 0.9426     Razlika: -0.0115
Mešani: kaskader                  Moski average: 0.9246    Zenski average: 0.9248     Razlika: -0.0002
